"You download an Azure resourse Manager template based on an existing Virtual machine. The template will be used to deploy 100 virtual machines. You need to modify the template to reference an administrative password. You must prevent the password from being stored in plain text.<br>What should you create to store the password?<br><br>A. Azure Storage account and access policy<br>B. Azure Key vault and access policy<br>C. Azure AD identity protection and Azure policy<br>D. Recovery services vault and backup policy"                                                                                                                                             ,"B. Azure Key vault and access policy<br><br><h1>Explanation:</h1<br> When handling passwords in Azure, be sure to use a secrets manager, this is what Azure Key Vault is for"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
"You plan to deploy 3 Virtual Machines name VM1, VM2, and VM3. The virtual machines will host a web app names App1. You need to ensure that at least 2 virtual machines are available if a single Azure data center becomes unavailable.<br>What should you deploy?<br><br>A. Each virtual machine in a seperate availability zone.<br>B. All three virtual machines in a single availability zone.<br>C. All virtual machines in a single availability Set.<br>D. Each virtual machine in a seperate availability Set."                                                                                                                                                             ,"A. Each virtual machine in a seperate availability zone.<br><br><h1>Explanation:</h1<br> Availability Sets are used to adjust for hardware failure within an availability zone. Availability Zones are different Data Centers within a region."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
"Your company has virtual machines hosted in Microsoft Azure. The VMs are located in a single Azure virtual network named VNet1. The company has users that work remotely. The remote workers require access to the VMs on VNet1. You need to provide access for the remote workers. What should you do?<br><br>A. Configure a Site-to-Site (S2S) VPN<br>B.Configure a Point-to-Site (P2S) VPN<br>C. Configuure a Multi Site VPN<br>D. Configure a VNet-to-VNet VPN"                                                                                                                                                                                                                 ,"B. Configure a Point-to-Site (P2S) VPN.<br><br><h1>Explanation:</h1<br> The users computer acts as the point to the companys office, i.e. the site."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
"You have an Azure virtual machine VM1 that runs Windows Server 2022. You save VM1 as a template named Template1 to the Azure Resource Manager library. You plan to deploy a virtual machine named VM2 from Template1.<br>Which of the following do you need to configure during the deployment of VM2?<br>(Choose 2)<br><br>A. Rosource Group<br>B. Operating System<br>C. Virtual Machine Size<br>D. Administrator Username"                                                                                                                                                                                                                                                       ,"A. Resource Group & D. Administrator Username<br><br><h1>Explanation:</h1<br> Neither of these options are retained when creating a template from a virtual machine."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
"Your company wants to share the JSON files stored in a container inside a storage account. What is the correct url for the file called 'employee_data.json'<br><br>Storage Account: 'monthlyreports' -> Container: 'may2023' -> File: 'employee_data.json<br><br>A. https://employee_json<br>B. https://monthlyreports.blob.core.windows.net/may2023/employee_data.json<br>C. https://monthlyreports/may2023/employee_data.json<br>D. https://monthlyreports.blob.core.windows.net/employee_data.json"                                                                                                                                                                              ,"B. https://monthlyreports.blob.core.windows.net/may2023/employe_data.json<br><br><h1>Explanation:</h1><br><br>When your account is created with standard endpoints, you can easily construct the URL for an object in Azure Storage by appending the object's location in the storage account to the endpoint. For example, the URL for a blob will be similar to: <br><br>https://*mystorageaccount*.blob.core.windows.net/*mycontainer*/*myblob*"                                                                                                                                                                                                                                                                                            
"A company needs to connect their on-premise data centers to Azure. They have huge workloads that need to regularly transfer between on premise data centers and Azure. The company wants to avoid sending data over the public internet for security reasons. Which of the followign options should the company opt to establish this connection?<br><br>A. Create a Point-to-Site (P2S) Connection<br>B. Create a Site-to-Site (S2S) Connection<br>C. Create an ExpressRoute Connection<br>D. Create a VNet-to-VNet Connection"                                                                                                                                                    ,"C. Create an Express Route Connection. <br><br><h1>Explanation</h1><br>ExpressRoute connections don't go over the public Internet. This allows ExpressRoute connections to offer more reliability, faster speeds, consistent latencies, and higher security than typical connections over the Internet."                                                                                                                                                                                                                                                                                                                                                                                                                                       
"Your company wants to move an entire solution to Azure. Due to security constaints, the company want to restrict the creation of all resources in a particular region.<br>Which Azure Service can be used to achieve this requirement?<br><br>A. Azure Policy<br>B. Azure Monitor<br>C. Azure Availability Zone<br>D. Azure Web Apps"                                                                                                                                                                                                                                                                                                                                               ,"A. Azure Policy"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
"A company has an Azure subscription which contains a resource group named RG1 which is set to the Australia East location. RG1 is used to host temporary resource and contains resources shown below.<br><br>VM2 Virtual Machine Central India<br>SQLD02 SQL Server in Azure VM Southeast Asia<br>SA004 Storage Account Australia East<br>RSV25 Recovery Services Vault Central India<br><br>SQLD02 is backed up to RSV25. When a user tries to delete RG1 from Azure Portal, the deletion fails. What is the first action needed to be taken to ensure a successful deletion?<br><br>A. Delete Storage Account SA004<br>B. Restart VM2<br>C. Stop backup of SQLD02<br>D. Stop VM2" ,"C. Stop backup of SQLD02<br><h1>Explanation:</h1><br>Whenever a resource group is deleted then all the child resources are also deleted and in this case we have a recovery services vault as a child resouce.<br><br>You can't delete a Recovery Services vault with any of the following dependencies: <ul><li>You can't delete a vault that contains projected data source (for example, IaaS VMs, SQL databases, Azure file Shares).</li><li>You can't delete a vault that contains backup data. Once backup data is deleted, it will go into the soft deleted state.</li><li>You can't delete a vault that contains backup data in the soft deleted state</li><li>You can't delete a vault that has registered storage accounts</li><ul>" 
"A company needs to identify idle and underutilized Azure Virtual machines which can be changed to a less costly service tier. What should the company use?<br>A. File Storage<br>B. Azure Advisor<br>C. Azure Monitor<br>D. Customer Insights"                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"B. Azure Advisor<br><h1>Explanation:</h1><br>Azure Advisor helps you optimize and reduce your overall Azure spend by identifying idle and underutilized resources. You can get cost recommendations from the Cost tab on the Advisor dashboard"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
"You have an Azure subscription named subscription1. You have 5TB of data that you need to transfer to subscription1. You plan to use Azure Import/Export job.<br>What can you use as the destination of the imported data?<br><br>A. Azure File Storage<br>B. Azure Data Factory<br>C. Azure Cosmos DB<br>D. Azure SQL Database"                                                                                                                                                                                                                                                                                                                                                    ,"A. Azure File Storage<br><h1>Explanation</h1><br>Azure File Storage also support blobs for import jobs"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
"Your company has a Microsoft SQL Server Always On availability group configured on their Azure virual machines (VMs). You need to configure an Azure internal load balancer for the availability group.<br><strong>Solution:</strong> You create an HTTP health probe on port 1433<br>Does this solution meet the goal?<br><br>A. Yes<br>B. No"                                                                                                                                                                                                                                                                                                                                     ,"B. No<br><h1>Explanation:</h1><br>You must create a TCP listener on port 443 in order for this to work as the load balancer doesn't work with HTTP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
"You have an Azure subscription that contains an Azure Storage account and You plan to copy an on-premises virtual machine image to a container named vmimages. Which command should you run to create the container for the planned image?<br>azcopy(A. make/B. sync/C. copy)<br>https://devopshubstorage.(A. blob/B. dfs/C. queue/D. table/E. images).core.windows.net/vmimages"                                                                                                                                                                                                                                                                                                   ,"A. make & A. blob"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
